timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687143732255,12,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-1,text,true,,232,491,2,2,http://localhost:3000/,12,0,1
1687143732264,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-2,text,true,,232,491,2,2,http://localhost:3000/,7,0,0
1687143732267,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-3,text,true,,232,491,2,2,http://localhost:3000/,7,0,1
1687143732273,12,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-4,text,true,,232,491,2,2,http://localhost:3000/,12,0,1
1687143732283,8,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-5,text,true,,232,491,2,2,http://localhost:3000/,8,0,1
1687143732289,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-6,text,true,,232,491,2,2,http://localhost:3000/,7,0,0
1687143732301,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-8,text,true,,232,491,2,2,http://localhost:3000/,7,0,1
1687143732296,13,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-7,text,true,,232,491,2,2,http://localhost:3000/,13,0,1
1687143732309,6,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-9,text,true,,232,491,1,1,http://localhost:3000/,6,0,1
1687143732316,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-10,text,true,,232,491,1,1,http://localhost:3000/,5,0,0
1687143732322,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-11,text,true,,232,491,1,1,http://localhost:3000/,5,0,1
1687143732329,6,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-12,text,true,,232,491,1,1,http://localhost:3000/,6,0,1
1687143732336,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-13,text,true,,232,491,1,1,http://localhost:3000/,5,0,1
1687143732342,6,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-14,text,true,,232,491,1,1,http://localhost:3000/,6,0,1
1687143732349,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-15,text,true,,232,491,1,1,http://localhost:3000/,7,0,1
1687143732356,8,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-16,text,true,,232,491,2,2,http://localhost:3000/,8,0,1
1687143732364,6,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-17,text,true,,232,491,1,1,http://localhost:3000/,6,0,0
1687143732370,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-18,text,true,,232,491,1,1,http://localhost:3000/,7,0,1
1687143732378,6,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-19,text,true,,232,491,1,1,http://localhost:3000/,6,0,1
1687143732385,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-20,text,true,,232,491,1,1,http://localhost:3000/,5,0,0
1687143732391,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-21,text,true,,232,491,2,2,http://localhost:3000/,7,0,1
1687143732397,8,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-22,text,true,,232,491,2,2,http://localhost:3000/,8,0,1
1687143732403,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-23,text,true,,232,491,2,2,http://localhost:3000/,7,0,1
1687143732409,8,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-24,text,true,,232,491,1,1,http://localhost:3000/,8,0,1
1687143732417,8,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-25,text,true,,232,491,2,2,http://localhost:3000/,8,0,1
1687143732423,8,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-26,text,true,,232,491,2,2,http://localhost:3000/,8,0,0
1687143732429,6,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-27,text,true,,232,491,1,1,http://localhost:3000/,6,0,0
1687143732436,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-28,text,true,,232,491,1,1,http://localhost:3000/,5,0,0
1687143732444,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-29,text,true,,232,491,1,1,http://localhost:3000/,5,0,0
1687143732451,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-30,text,true,,232,491,1,1,http://localhost:3000/,5,0,0
1687143732458,4,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-31,text,true,,232,491,1,1,http://localhost:3000/,4,0,0
1687143732463,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-32,text,true,,232,491,1,1,http://localhost:3000/,5,0,1
