timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687140767206,8,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-1,text,true,,232,491,1,1,http://localhost:3000/,8,0,1
1687140767219,8,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-3,text,true,,232,491,3,3,http://localhost:3000/,8,0,1
1687140767219,9,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-2,text,true,,232,491,2,2,http://localhost:3000/,9,0,1
1687140767225,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-4,text,true,,232,491,2,2,http://localhost:3000/,7,0,0
1687140767230,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-5,text,true,,232,491,2,2,http://localhost:3000/,7,0,1
1687140767237,6,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-6,text,true,,232,491,2,2,http://localhost:3000/,6,0,0
1687140767243,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-7,text,true,,232,491,1,1,http://localhost:3000/,5,0,0
1687140767249,6,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-8,text,true,,232,491,1,1,http://localhost:3000/,6,0,0
1687140767255,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-9,text,true,,232,491,1,1,http://localhost:3000/,5,0,0
1687140767261,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-10,text,true,,232,491,1,1,http://localhost:3000/,5,0,0
1687140767267,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-11,text,true,,232,491,2,2,http://localhost:3000/,7,0,1
1687140767274,7,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-12,text,true,,232,491,2,2,http://localhost:3000/,7,0,0
1687140767280,6,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-13,text,true,,232,491,1,1,http://localhost:3000/,6,0,1
1687140767287,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-14,text,true,,232,491,1,1,http://localhost:3000/,5,0,1
1687140767294,5,GraphQL HTTP Request,200,OK,Thread Group - High Volume 1-15,text,true,,232,491,1,1,http://localhost:3000/,5,0,0
